Domaine,Millésime,Appellation,Désignation,Cru,Type,Région,Cépage principal,Début apogée,Fin apogée,Note,Prix achat,Lieu Achat,Date Achat,Nombre,CA Connu,Date dégustation,Ma Note,Commentaire
Laurent Martray,2017,Brouilly,Le coeur des feuillées VALAP,Vieilles vignes,Rouge,Beaujolais,Gamay,2018,2023,4/5,"9,9",Valap,04/04/2020,0,,"13/04/2020
25/04/2020
04/05/2020
21/05/2020
12/09/2020
25/07/2021","4
4
4
3,5
4
4","Bon Brouilly. Légèrement acide mais Gamay agréable
Toujours très bien, cette fois ci j'ai l'impression que je l'ai préféré au côté de brouilly car j'ai moins senti l'acidité et l'équilibre est très bon
Egal à lui même
Avec Marine et Mika à Pontault-Combault. Je l'ai trouvé un peu plus amer et surtout aucun commentaire des autres donc peu apprécié
Avec Claire Desbois. Elle a beaucoup aimé. J'ai retrouvé le goût que j'appréciais les premières fois
Bien, comme les premières fois"
Château Bidonnet Laffitte,2018,Bordeaux,Cuvée Linda,,Blanc moelleux,Bordeaux,,2019,2023,3/5,,Cadeau,26/12/2019,0,,02/12/2023,,Pas de note car ramené à l'anniversaire de Jay mais pas ouvert
Château de la Greffière,2018,Mâcon,Mâcon La Roche Vineuse,,Blanc,Bourgogne,Chardonnay,2019,2023,4/5,"9,9",Vinatis,29/05/2021,0,,"16/07/2021
09/11/2021
","3,5
3,5
","Avec Cécile. Vin très rond, pas du tout sur l'acidité. Presque un champagne sans bulle pour ma part, légèrement sucré. Cécile a aimé, mois moins
Avec Maxence et Anaïs. Cécile a encore aimé. Moi toujours pas. Ne pas racheter. Trop sur le beurre
"
Domaine Valéry Renaudat,2017,Reuilly,Le Sentier,,Rouge,Val de Loire et Centre,Pinot Noir,2019,2023,4/5,15,Marché,21/11/2020,0,,06/04/2023,"3,5","Bon petit pinot noir, assez léger"
Dupré Goujon,2017,Côte de Brouilly,,,Rouge,Beaujolais,Gamay,2019,2023,4/5,"14,9",Valap,04/04/2020,0,0,"14/04/2020
27/04/2020
14/12/2021
30/04/2022
26/12/2022
03/05/2024","4,5
4

3
3,5
4,5","Super côté de Brouilly. Je pense qu'il peut vieillir en cave mais nous avons beaucoup aimé
Toujours très bien mais j'ai trouvé une point d'amertume en fin de bouche cette fois-ci. Je baisse donc sa note.

Apéro avec Cécile. Costaud. Pas forcément adapté à du saucisson
Avec Nico. Je crois que nous avons bien aimé
Tout seul. Il est vraiment bon. Fruité mais costaux, Je croyais qu'il n'était pas top mais boire le 2017 en 2024 est la bonne année"
François Weck,2018,Gewürztraminer,,Cuvée prestige,Blanc moelleux,Alsace,Gewurztraminer,2019,2023,4/5,"9,5",Marché,15/02/2020,1,"9,5",,,
François Weck,2018,Gewürztraminer,,Cuvée Annala,Blanc moelleux,Alsace,Gewurztraminer,2019,2023,4/5,17,Marché,15/02/2020,1,17,,,
Vigneron de Buxy,2017,Montagny,Tête de Cuvée,1er cru,Blanc,Bourgogne,Chardonnay,2019,2023,4/5,,,12/10/2019,0,,25/01/2020,4,Soirée raclette avec Claire des bois. Vraiment super. Complexe et devrait pouvoir se garder. A voir si je peux en retrouver d'autre car excellente surprise.
Antoine Sunier,2018,Régnié,,,Rouge,Beaujolais,Gamay,2020,2023,5/5,"14,9",Valap,19/05/2020,0,,"28/05/2020
12/12/2020
20/01/2021
03/02/2021
17/11/2021","4
0
2
3,5
3","J'ai bien aimé. On sent vraiement le gamay du beaujolais. Cécile n'a pas accroché. A voir en vieillissant car il est effectivement jeune
Tout seul. Il avait tourné. Bouteille à jeter
Encore une bouteille avec un bouchon qui casse et un goût très prononcé de champignon. Je n'ai pas trop aimé
Bouteille bien meilleure. Ce n'est pas mon vin préféré car il cogne le crane, mais très correcte. Dommage que deux bouteilles étaient mauvaises
Ne pas en racheter. Vraiment pas mon style de vin"
Domaine de la Désoucherie,2018,Cour - Cheverny,Soléa,,Blanc moelleux,Val de Loire et Centre,Romorantin,2020,2023,4/5,"10,9",Epicerie,08/07/2023,1,"10,9",,,
Domaine Le Mirabeau,2018,Vinsobres,,,Rouge,Vallée du Rhône,"Grenache Noir, Syrah, Cinsault",2020,2023,3/5,"15,5",Salon,23/03/2025,2,31,,,
Domaine Valéry Renaudat,2019,Reuilly,Les Lignis,,Rosé,Val de Loire et Centre,Pinot Noir,2020,2023,,11,Marché,21/11/2020,0,,06/01/2023,2,Sans plus. Cécile n'aime pas
Fournier Pere & Fils,2018,Sancerre,Les Belles Vignes,,Blanc,Val de Loire et Centre,Sauvignon Blanc,2020,2023,2/5,,Veepee,24/04/2020,0,,24/04/2020,4,Bon Sancerre. Rien de particulier mais fait parfaitement le job.
Philippe Tupinier,2018,Côtes d'Auxerre,,,Rosé,Bourgogne,Pinot Noir,2020,2023,,10,Marché,16/11/2019,0,,05/01/2020,"3,5","Avec Cécile. Assez original, je l'avais bien aimé sur le marché, mais cette fois ci j'ai trouvé qu'il avait une pointe d'amertume qui n'était pas exceptionnelle"
Philippe Tupinier,2018,Chablis,,,Blanc,Bourgogne,Chardonnay,2020,2023,4/5,"14
14
14","Marché
Marché
Marché","16/11/2019
15/02/2020
21/11/2020",0,,"22/12/2019
13/03/2020
13/03/2020
11/05/2021
18/05/2021","4
4
4
4
4","Bu avec les parents de Cécile. Bon chablis. Pas agressif.
Toujours bon
Toujours bon
Toujours bon
Toujours bon"
Philippe Tupinier,2018,Côtes d'Auxerre,Cuvée Spéciale,,Rouge,Bourgogne,Pinot Noir,2020,2023,5/5,15,Producteur,20/11/2022,0,,04/12/2022,"3,5",Très correct
Philippe Tupinier,2018,Côtes d'Auxerre,Cuvée Spéciale,,Rouge,Bourgogne,Pinot Noir,2020,2023,5/5,"15,5",Marché,17/09/2023,0,,09/10/2023,"3,5",Cécile a immédiatement beaucoup aimé. Je le trouve très bien aussi mais un peu cher pour un simple côte d'Auxerre
Emilie & Benoit,2020,Bordeaux,Esprit,,Rosé,Bordeaux,"Merlot, Cabernet Sauvignon",2022,2023,,10,Marché,18/11/2021,0,,02/05/2022,1,"Ne pas racheter, pas bon"
Domaine de l'Olivette,2014,Bandol,Cuvée Spéciale,,Rouge,Provence,"Mourvèdre, Grenache Noir, Cinsault",2017,2024,4/5,36,Salon,29/11/2023,2,72,,,
Le Clos Coquimbert,2014,Chinon,,,Rouge,Val de Loire et Centre,Cabernet Franc,2017,2024,4/5,,Producteur,18/07/2020,0,,04/07/2021,"4,5",Super Chinon. Nous aimons beaucoup.Sous bois (cave humide pour Cécile). Encore meilleure lorsqu'il s'est aéré. Millésime top car le 2017 est décevant
Château Rousselle,2014,Côtes de Bourg,,Cru bourgeois,Rouge,Bordeaux,"Merlot, Cabernet Sauvignon, Cabernet Franc",2018,2024,3/5,,Monoprix,10/12/2017,0,,06/12/2023,4,J'aime beaucoup. Ca me fait penser aux vieux bordeaux que je buvais chez Faz
Chamilly,2016,Givry,En Choué,,Rouge,Bourgogne,Pinot Noir,2019,2024,3/5,,Producteur,19/04/2018,0,,25/07/2020,4,Avec Mika et Marine. Très bon Givry. Je n'avais pas aimé le Mercurey de cette maison mais ce Givry est à racheter si on retourne voir les cousins de Cécile
Mas d'Encha,2016,Faugères,L'approche,,Rouge,Languedoc Roussillon,"Cinsault, Carignan, Mourvèdre",2019,2024,4/5,"4,9",Super U,23/12/2017,0,,02/12/2019,"3,5","Tout seul pour goûter. Pruneau et épice. Très correct pour le prix, mais j'aurais mis 3 s'il était plus cher."
Zorah,2017,Karazi,,,Rouge,Arménie,Areni noir,2019,2024,,,Valap,08/08/2019,3,0,"14/09/2019
22/02/2025","4,5
4,5","Avec Mika et Nico soirée Console. Je le trouve excellent. Sucré, sur les fruits noir. On voit que c'est un vin du soleil. Pourra se garder. Très belle découverte
Avec les parents de Cécile qui l'ont trouvé trop fort mais j'ai bien aimé"
Angelliaume,2017,Chinon,,,Blanc,Val de Loire et Centre,Chenin blanc,2020,2024,4/5,"5,5",Producteur,01/06/2019,0,,21/03/2020,"3,5","Meilleur que mon souvenir, et vraiment pas cher. Donc bon rapport qualité prix même si pas un vin exceptionnel. Pointe d'acitité sur la fin"
Batasiolo,2019,Barolo,,,Rouge,Piémont,Nebbiolo,2020,2024,3/5,,Aéroport,22/06/2024,1,0,,,
Caveau Bugiste,2019,Bugey Manicle,Cuvée de Rocailles,,Rouge,Savoie et Bugey,Pinot Noir,2020,2024,3/5,"16,5",Vinatis,18/11/2021,0,,"25/11/2022
30/10/2023","3
3,5","2 offertes à Faz pour Noël
Soirée raclette avec Nico, Claire Cécile. Correct avec la raclette mais sans plus. Je n'en rachèterai pas
Sans rien dans un premier temps, j'ai finalement beaucoup aimé. Puis sur un gratin de chou-fleur aux lardons. Très bien"
Château Ollieux Romanis,2019,Corbières - Boutenac,Atal Sia,,Rouge,Languedoc Roussillon,"Carignan, Grenache Noir, Cinsault",2020,2024,3/5,26,Intercaves,17/05/2023,0,0,23/04/2025,"3,5",Avec Mika et Marine. Correct mais pas trop de longueur en bouche
Minuty,2019,Côtes de Provence,M,,Rosé,Provence,"Grenache Noir, Cinsault, Syrah",2020,2024,,"12,9",Valap,30/06/2020,0,,"31/07/2020
12/08/2020
12/09/2020
04/11/2020
27/05/2022
04/08/2022","4
4
4
4
4
4","Avec Elodie et Ronan. Passe très bien. Par contre je m'attendais à encore mieux vu la réputation
Avec Maxence et Anais. Pareil
Avec Claire Desbois. Pareil
Avec Marion. Pareil
Avec Cécile. Pareil
Avec Cécile. Pareil"
Rémi Jeanniard,2019,Bourgogne Aligoté,Vieilles vignes,,Blanc,Bourgogne,Aligoté,2020,2024,4/5,"9,5",Caviste,05/05/2021,0,,"19/07/2021
05/11/2021
","3,5
3,5
","Bon rapport qualité prix
Idem
"
Bardet & Fils,2019,Chablis,,,Blanc,Bourgogne,Chardonnay,2021,2024,4/5,"11,5",Salon,20/03/2022,0,,"15/04/2022
30/07/2022","3
3","Chez Math et Jess mais on a été assez déçu. Pas top contraiterement à mes souvenirs du salon
Pas noté"
Bardet & Fils,2019,Chablis,Vieilles Vignes,,Blanc,Bourgogne,Chardonnay,2021,2024,4/5,14,Salon,20/03/2022,0,,01/11/2022,4,Avec Tanja. On a bien aimé
Domaine de Milhomme,2020,Beaujolais,Cuvée Le Mûrier,,Rouge,Beaujolais,Gamay,2021,2024,4/5,"8,1",Producteur,20/08/2022,0,0,"14/01/2023
27/03/2024
17/01/2025","4
3,5
3,5","Avec Nico. Vraiment pas mal du tout. Beaucoup de goût.
Tout seul. Vin d'apéro. Fruité léger et pas de longueur en bouche, mais correct
Même avis que précédemment"
Domaine de Milhomme,2020,Beaujolais,1729,,Rouge,Beaujolais,Gamay,2021,2024,4/5,"11,9",Producteur,20/08/2022,6,"71,4",,,
Domaine de Veilloux,2019,Cheverny,Les Veilleurs,,Rouge,Val de Loire et Centre,"Gamay, Pinot Noir",2021,2024,4/5,15,Maison du Vin,08/07/2023,0,0,25/10/2025,4,Avec Papou et Nanou qui ont beaucoup aime
Domaine des Huards,2019,Cheverny,Le Vivier,,Rouge,Val de Loire et Centre,"Gamay, Pinot Noir",2021,2024,4/5,20,Maison du Vin,08/07/2023,0,0,26/10/2025,"2,5",Avec Papou et Nanou qui ne l'ont pas trouvé bon. Moi non plus surtout après Les veilleurs qui était très bien
Domaine du Castellat,2019,Bergerac,Cuvée Victor et Hugo,,Rouge,Sud Ouest,"Cabernet Franc, Cabernet Sauvignon, Merlot",2021,2024,4/5,"7,5",Marché,"21/11/2020
13/02/2021",0,,02/01/2021,"3,5",Très bon rapport qualité prix. Un goût avec du caractère mais peut-être pas assez de longueur en bouche. A racheter pour tester.
Grandes Costes,2019,Languedoc Pic Saint Loup,Les Grandes Costes,,Rouge,Languedoc Roussillon,"Carignan, Cinsault, Grenache Noir",2021,2024,3/5,"25,5",Salon,23/11/2022,1,"25,5",,,
Mas Combaréla,2019,Carignan,Les Vieux Mazets,,Rouge,Languedoc Roussillon,Carignan,2021,2024,3/5,18,Salon,20/03/2022,1,18,16/10/2024,4,Avec Tichou qui a beaucoup aimé. Moi aussi mais un peu léger en bouche. Il aime les vins un peu confis
Philippe Tupinier,2019,Chardonnay,Vieilles Vignes,,Blanc,Bourgogne,Chardonnay,2021,2024,3/5,,Marché,01/03/2021,0,,08/05/2021,"3,5",Bon chardonnay
Philippe Tupinier,2019,Chardonnay,Vieilles Vignes,,Blanc,Bourgogne,Chardonnay,2021,2024,4/5,15,Marché,22/09/2024,0,0,"23/11/2024
29/03/2025","3,5","Amenée chez Véro & Jay
Pour Cécile qui n'aimait pas l'Irouleguy"
Château Haut-Tellas,2021,Entre Deux Mers,Fûts de Chêne,,Blanc,Bordeaux,"Sauvignon Blanc, Semillon, Muscadelle",2022,2024,4/5,22,Marché,22/09/2024,0,0,26/07/2025,"3,5",J'aime bien mais je trouve que 22€ c'est trop cher. A 15 ce serait correct
Gérard Bertrand,2021,Pays d'Oc,Gris Blanc,,Rosé,Languedoc Roussillon,,2022,2024,,,Cadeau Marion,24/07/2022,0,,29/07/2022,4,Je ne sais plus mais Cécile l'avait trouvé bon au mariage
l'Amiral,2021,Pays d'Oc,Le voyage de l'Amiral,,Rouge,Languedoc Roussillon,Marselan,2022,2024,,14,Marché,19/11/2023,1,14,,,
Neil Becede Vigneron,2021,Entre Deux Mers,OVOID Pirate,,Blanc,Bordeaux,"Sauvignon Blanc, Semillon, Muscadelle",2022,2024,4/5,26,Marché,22/09/2024,1,26,,,
Chateau Haut-Plantade,2013,Pessac - Léognan,,,Blanc,Bordeaux,Sauvignon Blanc - Sémillon,2015,2025,2/5,,Cadeau Faz,25/12/2020,0,0,22/03/2024,1,Tout seul. Pas intéressant car sûrement dépassé. Alcool semble évaporé et aucune longueur en bouche
Clos de los Siete,2015,Mendoza,,,Rouge,"Mendoza, Argentine",,2016,2025,3/5,"12,9",Valap,26/08/2021,3,"38,7","02/10/2021
27/12/2022
24/01/2023","4
4
4","Vin du soleil puissant en alcool mais pas tant que ça en goût. Assez sucré comme les vins ensoleillé. Bien aimé
Toujours très bien
Avec Nico. Sur une fondue savoyarde. Très bien. Nico a aussi aimé ce style de vin"
Château Haut-Tellas,2015,Côtes de Bordeaux,,,Rouge,Bordeaux,"Cabernet Sauvignon, Cabernet Franc, Merlot",2017,2025,4/5,17,Marché,15/02/2020,0,,03/09/2023,"3,5","Avec Nico et Vangélis/ Carafé avant, plutôt bon mais assez puissant et boisé"
Château Haut-Tellas,2015,Bordeaux Supérieur,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Cabernet Sauvignon",2017,2025,4/5,16,Marché,20/11/2022,0,0,"03/05/2022
30/08/2025","4
4","Tout seul pour gouter. Vraiment pas mal. Je pense en racheter si je les retrouve au marché des producteurs. Bon petit bordeaux supérieur
Vraiment bien"
Château Lézin,2015,Bordeaux supérieur,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Cabernet Sauvignon",2017,2025,4/5,"5,6",Super U,12/01/2018,0,,"06/08/2019
12/10/2019
22/10/2019
29/12/2020","2
2
3,5
3","Tout seul pour gouter. Pas terrible. Vin de table et trop alcoolisé. Meilleur 2 jours arpès
Crémaillère Manu. Toujour le même avis
Bizarrement, pas si fort. En utilisant l'aérateur de vin. Et en mageant flageolets et escalope de veau. Le fromage aussi allait avec mais le yahourt myrtille pas du tout
Finalement, assez alcoolisé et pas très agréable. Ne pas racheter"
Fahrer-Ackermann,2015,Gewurztraminer Vendanges Tardives,,"
",Blanc moelleux,Alsace,Gewurztraminer,2017,2025,2/5,"16,8",Salon,02/12/2018,0,,08/02/2019,"4,5",Très bon. A racheter. Reste bien en bouche et n'est pas trop sucré comme certains moelleux
Pierre Trichet,2015,Champagne,L'exception,,Blanc effervescent,Champagne,,2017,2025,5/5,,Producteur,17/07/2022,1,0,,,
Couly-Dutheil,2015,Chinon,Clos de l'Echo,,Rouge,Val de Loire et Centre,Cabernet Franc,2018,2025,4/5,,Nicolas,12/10/2019,0,0,04/10/2025,4,"Avec Chouch et Mag car chouch me l'avait offert à la crémaillère de rue Taine. Très bien, plutôt costaud. J'ai beaucoup aimé et Chouch aussi"
Fournier Pere & Fils,2015,Pouilly Fumé,Grande cuvée,,Blanc,Val de Loire et Centre,Sauvignon Blanc,2018,2025,4/5,,Veepee,24/04/2020,0,,27/10/2021,5,Excellent Pouilly fumé bu avec Chouch et Mag
La Presidente,2015,Châteauneuf du Pape,Lucrèce,,Rouge,Vallée du Rhône,"Grenache Noir, Syrah, Mourvèdre",2018,2025,5/5,16,Vente-Privée,12/04/2018,1,16,"15/06/2019
02/05/2020","0
3,5","Chez Claire pour anniv Fabien. Vin affreux, que sur l'alcool. On ne l'a pas bu
Carafé 2h avant. Rien à voir avec l'autre bouteille. Vin correct, mais pas trop de longueur pour un Châteauneuf. Attendre pour la dernière bouteille"
Le Clos Coquimbert,2015,Chinon,,,Rouge,Val de Loire et Centre,Cabernet Franc,2018,2025,4/5,,Producteur,18/07/2020,0,,03/06/2023,"3,5","Avec Michel. On l'a pris avec une bavette. Très correct mais un cran en dessous du 2014, et plusieurs crans au dessus du 2017"
Vidal Fleury,2015,Châteauneuf du Pape,,,Rouge,Vallée du Rhône,"Grenache Noir, Syrah, Mourvèdre",2018,2025,5/5,24,Vente-Privée,11/03/2019,1,24,"10/12/2019
27/01/2024","4,5
3,5","Pour tester, avec Cécile. Très prometteur. Déjà très bon alors que juste aéré avec l'aérateur manuel et manger avec un plat non adapté : riz crevette sauce coco
Au ski avec les mecs. Correct mais pas le meilleur Châteauneuf que j'ai pu boire. Peu de longueur en bouche"
Frédéric Magnien,2015,Chablis Premier cru,Mont de Milieu,,Blanc,Bourgogne,Chardonnay,2019,2025,4/5,"20,5",Vente-Privée,16/06/2019,0,,"27/09/2019
31/05/2020
26/12/2022","2,5
3,5
4","Vraiment sans plus. Trop cher pour ce que c'est. Très acide, peut être trop jeune. On verra dans quelques années.
Meilleur que la dernière fois. Avec les voisins du dessus sur la terrasse. Garder la dernière pour dans quelques années.
Avec Nico. On a bien aimé"
Hamet-Spay,2017,Moulin à Vent,Les Terres Rouges,,Rouge,Beaujolais,Gamay,2019,2025,4/5,12,Salon,02/12/2018,0,,"18/05/2019
26/01/2020","4
3,5","Chez Mickie/Alex. Très bon, assez fruité et léger. Légèrement astringeant.
Chez nous avec Jessie. Plutôt bon, mais une amertume peu agréable sur la fin. Je pense qu'il gagnerait à vieillir un peu"
Jean Bouchard,2017,Savigny-les-Beaune,,,Blanc,Bourgogne,Chardonnay,2020,2025,4/5,"21,45",Veepee,20/04/2021,1,"21,45",23/07/2021,4,"Soirée Oenologie à Garches. Très bon. Chardonnay rond, avec du corps, mais dans l'acidité contrairement au Chassagne de Mika qui était boisé"
Vieille Fontaine,2017,Mercurey,Les Crêts,1er cru,Rouge,Bourgogne,Pinot Noir,2020,2025,3/5,23,Salon,02/12/2018,0,,"08/05/2020
31/12/2021","4
4","Chez Marine avec Mika suite déconfinement. J'ai beaucoup aimé. Léger comme un pinot noir mais très agréable en bouche. Apprécié de Mika, Marine préfère Lalande
Nouvel an avec Chouch Mag Nico et Cécile. Il a fait l'unanimité. Je l'ai trouvé un poil trop acide personnellement"
Borsao Bodegas,2020,Campo de Borja,Campo Castillo,,Rouge,Aragon,,2021,2025,,"5,99",Valap,26/08/2021,0,0,"29/10/2021
21/12/2021
22/03/2022
06/06/2023
02/12/2024
28/02/2024","3,5
3,5
4
3,5
3
3","Tout seul pour goûter. Bon vin du sud, mais assez léger. Très correct pour le prix.
Je mets une meilleure note car Cécile a beaucoup aimé. Moi je trouve le rapport qualité prix très bien, mais je n'aime pas trop les vins du sud trop sucrés
Très correct. Bon rapport qualité prix
Pour l'anniversaire de Jay. N'a pas fait l'unanimité
Pour finir"
Château Sainte Roseline,2019,Côtes de Provence,Lampe de Méduse,Cru Classé,Rouge,Provence,"Syrah, Grenache Noir, Cabernet Sauvignon",2021,2025,3/5,"15,9",Vinatis,29/12/2023,2,"31,8",,,
Alphonse Mellot,2020,Sancerre,Valap,,Blanc,Val de Loire et Centre,Sauvignon,2022,2025,4/5,"19,95",Valap,12/11/2021,0,,"24/11/2021
27/03/2022
01/11/2022
12/11/2022
19/12/2022
24/11/2023","4
3,5
4
4
4
4","Avec Nico. Très bon, mais je m'attendais à quelque chose d'exceptionnel. Sancerre classique donc un peu cher 
Avec les beaux parents. Il n'est pas franchement super pour le prix
Avec Tanja. On a bien aimé
Avec Tanja et la maman de Mathilde. On a bien aimé
Avec Cécile pour l'apéritif
Avec Cécile. Toujours très bon"
Château Moulin Favre,2020,Saint Amour,,,Rouge,Beaujolais,Gamay,2022,2025,4/5,10,Salon,01/12/2021,1,10,10/05/2023,"3,5",Avec Maxence et Anaïs. Pas mal sur un poulet rôti
Domaine Carcenac,2020,Gaillac,Jadis,,Rouge,Sud Ouest,"Fer Servadou, Duras, Syrah",2022,2025,5/5,"11,6",Caviste,24/06/2023,1,"11,6",,,
Domaine de Milhomme,2021,Beaujolais,Or Blanc,,Blanc,Beaujolais,Chardonnay,2022,2025,3/5,"8,5",Producteur,20/08/2022,0,,"14/10/2022
31/10/2022","3,5
3","Avec Cécile. Très correct
Avec Tanja. Pas de goût mais avec des glaçons car pas frais. Sans glâçon il y avait du goût mais chaud."
Domaine de Milhomme,2021,Beaujolais,Vigne Centenaire,,Rouge,Beaujolais,Gamay,2022,2025,4/5,"9,6",Producteur,20/08/2022,1,"9,6",,,
Domaine de Montcy,2020,Cheverny,Louis de la Saussaye,,Rouge,Val de Loire et Centre,"Gamay, Pinot Noir",2022,2025,4/5,"17,8",Maison du Vin,08/07/2023,1,"17,8",,,
Domaine de Montcy,2020,Cheverny,Clos des Cendres,,Blanc,Val de Loire et Centre,"Sauvignon Blanc, Chardonnay",2022,2025,4/5,"17,8",Maison du Vin,08/07/2023,0,0,"04/04/2025
19/09/2025","3,5
4","Avec Cécile. J'aime bien mais on a eu mal au crane tous les deux le lendemain. A voir avec la deuxième bouteille
Avec Anne et Guillaume, les parents de Paul. Très bien"
Domaine des Darrèzes,2020,Saint Amour,Cuvée Soline,,Rouge,Beaujolais,Gamay,2022,2025,4/5,14,Salon,23/03/2025,0,0,"16/05/2025
31/05/2025","3
-","Avec Cécile. Pas terrible, un peu meilleur le lendemain
Ramené mais pas bu à la finale de champions league chez Vangelis"
