Domaine,Millésime,Appellation,Désignation,Cru,Type,Région,Cépage principal,Début apogée,Fin apogée,Note,Prix achat,Lieu Achat,Date Achat,Nombre,CA Connu,Date dégustation,Ma Note,Commentaire
Olivier,2016,Saint Nicolas de Bourgueil,Cuvée du Mont des Oliviers,,Rouge,Val de Loire et Centre,"Cabernet Franc, Cabernet Sauvignon",2020,2036,4/5,"9,6",Salon,02/12/2018,0,,"16/04/2020
29/04/2020","4
4","Bon Saint Nicolas. Je l'avais apprécié au salon, et je le trouve toujours bon plus d'un an après. Prix très correct
En confinement à la maison. Toujours bien. Léger et agréable"
Chateau Brown,2017,Pessac - Léognan,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2021,2035,3/5,"21,95",Auchan FAV,02/10/2019,1,"21,95",,,
Louis Jadot,2021,Pouilly - Fuissé,,,Blanc,Bourgogne,Chardonnay,2024,2036,3/5,33,Leclerc,27/05/2023,0,0,27/03/2025,4,Avec Mika et Marine. Très bon
Domaine Alain Patriarche,2020,Meursault,Vieilles Vignes,,Blanc,Bourgogne,Chardonnay,2023,2035,4/5,31,Salon,20/03/2022,1,31,,,
Domaine Alain Patriarche,2020,Meursault,Les Tillets,,Blanc,Bourgogne,Chardonnay,2023,2035,4/5,35,Salon,20/03/2022,1,35,,,
Domaine Chopin Gautier,2017,Nuits Saint Georges,,,Rouge,Bourgogne,Pinot Noir,2021,2037,3/5,"22,5",Auchan FAV,02/10/2019,0,0,12/10/2024,4,"Avec Mika, Marine, Nico, Vangelis. Très bien surtout après le nuiton beaunoy bouchonné"
Nuiton-Beaunoy,2017,Nuits Saint Georges,,,Rouge,Bourgogne,Pinot Noir,2021,2037,3/5,"29,3",Producteur,29/11/2019,0,0,12/10/2024,0,Bouchonné
Shaw + Smith,2020,Syrah,Shiraz,,Rouge,"Adelaide Hills, Australie",Syrah,2024,2035,4/5,"29,5",Vinatis,29/12/2023,2,59,,,
Château Ferrande,2020,Graves,,,Rouge,Bordeaux,"Merlot, Cabernet Sauvignon, Cabernet Franc",2025,2035,5/5,11,Nicolas,14/04/2024,1,11,,,
Domaine Nudant,2021,Ladoix,Les Buis,Premier cru,Rouge,Bourgogne,Pinot Noir,2024,2036,2/5,33,Salon,29/11/2023,1,33,,,
Nuiton-Beaunoy,2021,Monthélie,,,Rouge,Bourgogne,Pinot Noir,2024,2036,2/5,"19,45",Domaine,27/05/2023,1,"19,45",,,
Domaine Nudant,2021,Vosne - Romanée,,,Rouge,Bourgogne,Pinot Noir,2025,2036,2/5,52,Salon,29/11/2023,1,52,,,
Château La Tour Carnet,2017,Haut Médoc,,Grand cru classé,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2022,2037,3/5,"26,25",Auchan FAV,07/10/2020,2,"52,5",,,
Château Latour-Martillac,2019,Pessac - Léognan,,Grand cru classé,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2023,2037,4/5,28,Valap Primeur,02/05/2022,6,168,,,
Nuiton-Beaunoy,2022,Morey - Saint Denis,Les Chaffots,Premier cru,Rouge,Bourgogne,Pinot Noir,2025,2037,4/5,"45,85",Producteur,07/06/2025,2,"91,7",,,
Château Combarieu,2022,Cahors,Ma passion Manu Pinto Malbec,,Rouge,Sud Ouest,"Malbec, Merlot, Tannat",2027,2037,5/5,14,Producteur,17/05/2025,1,14,,,
Château Pierhem,2009,Pomerol,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Petit Verdot",2014,2039,5/5,,Cadeau Faz,25/12/2020,0,,09/09/2023,0,"Soirée oenologie avec Mika, Claire, Nico, Vangélis et Cécile. Malheureusement ce vin avait tourné"
Château Cormeil-Figeac,2013,Saint Emilion Grand cru,,"
",Rouge,Bordeaux,"Merlot, Cabernet Franc, Cabernet Sauvignon",2017,2038,1/5,,Cadeau Interforum,27/06/2017,1,0,,,
Château Paveil de Luze,2014,Margaux,,Cru bourgeois,Rouge,Bordeaux,"Merlot, Cabernet Sauvignon, Cabernet Franc",2018,2039,3/5,"14,95",Super U,23/12/2017,0,,24/01/2021,4,Bu avec Mika et Marine et un poulet roti aux pommes de terre. Très bon. Avait été carafé 2h avant et c'était nécessaire. Très adapaté à ce plat
Domaine Amirault,2018,Saint Nicolas de Bourgueil,Les Gravilices,,Rouge,Val de Loire et Centre,"Cabernet Franc, Cabernet Sauvignon",2022,2038,5/5,"13,95",Salon,20/03/2022,1,"13,95",02/01/2023,"2,5","Avec Cécile, sur une paupiette de veau. Il semble avoir vieillit trop vite, je lui trouve un goût de champignon. Cécile voit du cranberries"
Vieux Château Perey,2014,Saint Emilion Grand cru,,"
",Rouge,Bordeaux,"Merlot, Cabernet Franc, Cabernet Sauvignon",2018,2039,3/5,"9,5",Vente-Privée,20/06/2018,0,0,"11/08/2019
22/04/2020
23/03/2022
12/07/2023
31/12/2023
13/01/2024","3
3,5
4
3,5
2
3","Peu de longueur en bouche mais vin correcte. Tanins un peu astreingeant mais meilleur le lendemain. Légère acidité qui pourrait indiquer une garde plus prolongée
Je l'ai préféré à la dernière fois. On reconnait le saint émilion. Pas trop de longueur mais correct quand même. Bien aérer au moins 2h avant de la boire.
Bon goût mais un peu trop acide. Cécile n'aime pas trop, moi j'ai aimé en mangeant. Meilleur qu'à mes souvenirs
Très correct mais manque de caractère, Tout seul pour vider la cave. Avec une quiche lorraine donc pas adapté
Nouvel an en Bourgogne. Il a viré au champignon. Je n'aime pas ce type de vin
Pour finir suite à la dernière bouteille ratée. Toujours sur le déclein mais un peu moins champignon. Il n'est pas trop mal mais temps de le finir"
Pierre Desroches,2023,Pouilly - Fuissé,Au Vignerais,Premier Cru,Blanc,Bourgogne,Chardonnay,2026,2038,5/5,22,Salon,27/11/2024,2,44,,,
Nuiton-Beaunoy,2023,Fixin,,,Blanc,Bourgogne,Chardonnay,2027,2038,5/5,"27,7",Producteur,07/06/2025,2,"55,4",,,
Pierre Maizière,2023,Gevrey - Chambertin,,,Rouge,Bourgogne,Pinot Noir,2027,2038,4/5,"30,9",FAV Monoprix,28/09/2025,1,"30,9",,,
Vincent Charache,2023,Pernand - Vergelesses,Les Belles Filles,,Rouge,Bourgogne,Pinot Noir,2027,2038,4/5,25,Salon,23/03/2025,2,50,,,
Château Grand Ormeau,2015,Lalande de Pomerol,,,Rouge,Bordeaux,"Merlot, Cabernet Franc",2020,2040,4/5,,Cadeau Mika,19/12/2020,0,0,06/04/2024,"4,5","Avec Mika et Marine, très bon, on a tous beaucoup aimé"
Château Grand Corbin,2014,Saint Emilion Grand cru,,Grand cru classé,Rouge,Bordeaux,"Merlot, Cabernet Franc, Cabernet Sauvignon",2018,2039,3/5,19,Vente-Privée,12/04/2018,1,19,"22/05/2020
24/07/2025","4
3,5","En week-end avec Mika et Marine à Pontault-Combault. J'ai été légèrement déçu pour un grand cru classé. Mika a aimé. Il est bon mais pas assez long en bouche
Tout seul. Correct mais rien d'exceptionnel pour un grand cru classé"
Thomas Barton,2014,Saint Julien,Réserve,,Rouge,Bordeaux,"Cabernet Sauvignon, Cabernet Franc, Merlot",2018,2039,3/5,,Cadeau Interforum,27/06/2017,1,0,,,
Château Chevrol Bel-Air,2014,Lalande de Pomerol,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Cabernet Sauvignon",2019,2039,3/5,,Nicolas,12/10/2019,1,0,,,
Vrai Canon Bouché,2019,Canon - Fronsac,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Cabernet Sauvignon",2023,2039,4/5,18,Valap Primeur,02/05/2022,6,108,,,
Château La Bridane,2015,Saint Julien,,,Rouge,Bordeaux,"Cabernet Sauvignon, Cabernet France, Merlot",2019,2040,4/5,35,Salon,23/03/2025,1,35,05/04/2025,4,"Avec Mehdi, on a beaucoup aimé"
Château Paveil de Luze,2015,Margaux,,Cru bourgeois,Rouge,Bordeaux,"Merlot, Cabernet Sauvignon, Cabernet Franc",2019,2040,4/5,"22,39",Monoprix FAV,03/10/2020,1,"22,39",28/09/2024,4,Avec Jess. Carafé 1h avant. Très bon
Nuiton-Beaunoy,2020,Corton,Les Maréchaudes,Grand cru,Rouge,Bourgogne,Pinot Noir,2024,2040,4/5,"73,5",Domaine,27/05/2023,1,"73,5",,,
Nuiton-Beaunoy,2017,Pommard,,,Rouge,Bourgogne,Pinot Noir,2022,2042,3/5,"26,2",Producteur,29/11/2019,0,0,"30/06/2023
27/03/2025","4
3,5","Anniversaire de Cécile avec Mathieu Jess, Nico et Vangélis. On n'a tous beaucoup aimé. Une petite raideur sur la fin qui passera peut être avec 1 ou 2 ans de plus
Avec Mika et Marine. J'ai trouvé qu'il était sur le déclin"
Château d'Arsac,2016,Margaux,,Cru bourgeois,Rouge,Bordeaux,"Merlot, Cabernet Sauvignon, Cabernet Franc",2020,2041,5/5,"17,9",Auchan FAV,02/10/2019,1,"17,9",02/10/2019,4,Très bon. Sera sûrement parfait avec quelques années en plus. A racheter. Les tanins sont légers et le vin s'associe parfaitement au fromage
Château Tour des Termes,2013,Saint Estèphe,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2017,2043,1/5,,Cadeau Interforum,27/06/2017,0,,14/04/2023,"3,5",Avec Mika. Correct mais sans plus. Certainement qu'il aurait meilleur un peu plus tôt
Domaine Nudant,2021,Nuits Saint Georges,,,Rouge,Bourgogne,Pinot Noir,2025,2041,2/5,37,Salon,29/11/2023,1,37,,,
Château Lynch-Bages,2017,Pauillac,Echo de Lynch-Bages,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2021,2042,3/5,"32,95",Auchan FAV,02/10/2019,1,"32,95",,,
Château Moulin Delille,2014,Saint Estèphe,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2018,2044,3/5,,Monoprix,10/12/2017,0,,15/09/2021,,Avec Jessie et Cécile. Pas super. Pas trop de corps et semble un peu vert alors que millésime 2014
Château Mazeyres,2014,Pomerol,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Petit Verdot",2019,2044,3/5,"19,5",Vente-Privée,18/02/2019,0,,"09/06/2019
23/07/2021","4
3,5","Une cassée dans la cave et une bue car goulot fêlé. Très bonne. Mérite de vieillir.
Soirée Oenologie à Garches. Moins aimé que la dernière fois. Correct mais on aurait dû ouvrir la bouteille avant. Cécile et Marine ont aimé."
Château Prieuré-Lichine,2017,Margaux,,Grand cru,Rouge,Bordeaux,"Merlot, Cabernet Sauvignon, Cabernet Franc",2021,2042,3/5,"19,95",Auchan FAV,10/10/2019,1,"19,95",,,"Erreur d'étiquetage. 33,5€ à la base"
Château Sanctus,2017,Saint Emilion Grand cru,La Bienfaisance,,Rouge,Bordeaux,"Merlot, Cabernet Sauvignon, Cabernet Franc",2021,2042,3/5,"18,5",Monoprix FAV,03/10/2020,2,37,25/10/2023,4,Tanins fondus mais bien présents. Fruité et puissant. Pas mal du tout
Château Talbot,2017,Saint Julien,Connétable,,Rouge,Bordeaux,"Cabernet Sauvignon, Cabernet Franc, Merlot",2021,2042,3/5,"22,5",Auchan FAV,10/10/2019,1,"22,5",,,
Château Léo de Prades,2015,Saint Estèphe,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2019,2045,4/5,"12,5",Auchan FAV,03/10/2019,0,,"05/10/2019
26/12/2019","4
3,5","Avec Mika et Cécile pour annoncer notre mariage. Mis au frigo un peu avant, puis carafé une bonne heure. On a beaucoup aimé avec du fromage. Tanins peu prononcés
Pour noël avec la famille de Cécile. Sans plus surtout après le chateau haut coteau. Surnoté la première fois à mon sens. Mais cette fois ci, bu direct après ouverture"
Virely Arcelain,2017,Pommard,,,Rouge,Bourgogne,Pinot Noir,2022,2042,3/5,26,Salon,24/03/2019,1,26,,,
Amirault Grosbois,2022,Saint Nicolas de Bourgueil,Les Hauts Gagnés,,Rouge,Val de Loire et Centre,"Cabernet Franc, Cabernet Sauvignon",2026,2042,4/5,"15,9",FAV Monoprix,13/09/2025,1,"15,9",,,
Château Paveil de Luze,2018,Margaux,,Cru bourgeois,Rouge,Bordeaux,"Merlot, Cabernet Sauvignon, Cabernet Franc",2022,2043,5/5,"23,9",FAV Monoprix,13/09/2025,1,"23,9",,,
Alexandre Sirech,2018,Lalande de Pomerol,La Closerie de Lalande,,Rouge,Bordeaux,"Merlot, Cabernet Franc",2023,2043,4/5,"14,9",Valap,16/01/2020,7,"104,3","18/01/2020
25/06/2022
16/09/2023
04/10/2024","3,5
4","12 au prix de 6 car Valap s'est trompé dans la livraison. Semble prometteur mais trop jeune; Odeur d'herbe sauvage, j'aime bien, mais pour le moment, trop d'amertume
1 offert à Monique et Constant pour leur accueil
Tout seul pour voir l'avancée. Encore un peu trop acide donc je pense qu'il doit encore vieillir. Par contre tiens bien le coup sur un cassoulet
Avec Jess. Correct mais pas trop de longueur en bouche
Avec Claire. On a beaucoup aimé. Carafé 2 heures avant"
Jean-Claude Fabris,2018,Lalande de Pomerol,Domaine du Petit-Brouard,,Rouge,Bordeaux,"Merlot, Cabernet Franc",2023,2043,4/5,15,Salon,03/12/2023,2,30,,,
Clos René,2016,Pomerol,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Petit Verdot",2021,2046,5/5,"29,95",Auchan FAV,02/10/2019,0,,09/09/2023,4,Soirée oenologie avec Mika Claire Nico Vangélis et Cécile. Bon Pomerol même si j'en ai gouté des meilleurs
Valap,2019,Pauillac,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2023,2044,4/5,"24,9",Valap,26/08/2021,5,"124,5",07/03/2025,4,Avec Mika et Marine. J'ai beaucoup aimé. Je pense qu'il est très prometteur
Nuiton-Beaunoy,2019,Pommard,,,Rouge,Bourgogne,Pinot Noir,2024,2044,4/5,"31,8",Domaine,27/05/2023,1,"31,8",,,
Château Haut Coteau,2015,Saint Estèphe,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2019,2045,4/5,22,"Salon (2)
Web (6)","24/03/2019
31/01/2020",3,66,"12/10/2019
26/12/2019
08/02/2020
22/10/2021
01/11/2023","4,5
4,5
4
4
","Crémaillère Manu. Très bon mais après un petit passage par une carafe. Il a fait l'unanimité.
Pour noël avec la famille de Cécile. Il a encore fait l'unanimité. A racheter au prochain salon
Avec mes parents. Un peu déçu, pas eux. Mais je l'ai trouvé un cran en dessous des précédents. A garder au moins 5/10 ans encore
Avec Jessie et Matthieu. Toujours aussi sympa
Une offerte à Matthieu et Jess"
Château Mazeyres,2015,Pomerol,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Petit Verdot",2020,2045,4/5,"23,3",BazarChic,07/02/2020,2,"46,6",05/02/2022,4,Avec Matthieu. Très bien car carafé 2h avant
Nuiton-Beaunoy,2020,Pommard,Les Chanlins-Bas,Premier cru,Rouge,Bourgogne,Pinot Noir,2025,2045,4/5,"40,4",Domaine,27/05/2023,1,"40,4",,,
Château Laffite-Carcasset,2016,Saint Estèphe,,Cru bourgeois,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2020,2046,5/5,"19,9",Vinatis,29/12/2023,2,"39,8",,,
Château Serilhan,2016,Saint Estèphe,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2020,2046,5/5,"21,8",Vinatis,29/05/2021,1,"21,8",11/07/2021,4,"Avec Fred et Mel. Fred a beaucoup aimé, Cécile et moi aussi. Peut-être un peu trop léger, mais vraiment bon"
Château Bel-Air,2016,Pomerol,Château L'Ermitage de Bel-Air,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Petit Verdot",2021,2046,5/5,,Cadeau Claire,10/09/2021,1,0,,,
Château Branaire-Ducru,2021,Saint Julien,,Grand cru classé,Rouge,Bordeaux,"Cabernet Sauvignon, Cabernet Franc, Merlot",2025,2046,,"44,16",Valap,07/03/2024,6,"264,96",,,
Bénéjou,,Vin de France,,,Rosé,Sud Ouest,,,,,"6,5",Marché,15/02/2020,0,,28/02/2020,3,"Bu avec Cécile. Finalement, j'avais préféré au marché. Un arrière goût plutôt amer. Ne pas racheter."
Billecart-Salmon,,Champagne,Brut Réserver,,Blanc effervescent,Champagne,,,,,,Cadeau Coyote,04/01/2021,0,,30/06/2023,"4,5","Anniversaire de Cécile avec Jess Mathieu, Nico et Vangélis. On l'a trouvé très bon"
Casa de Vila Nova,2017,Vinho Verde,,,Blanc,Rios do Minho,,,,,,,25/01/2019,0,,"21/12/2019
31/01/2020
27/02/2020","
4
4","Soirée chez Véro et Jay avec Vaness et Vinvin. Je n'y ai pas gouté
Très bien pour un Vino Verde
Bu avec Cécile. Passe toujours très bien"
Casa de Vila Nova,2018,Vinho Verde,,,Blanc,Rios do Minho,,,,,,,21/12/2019,0,,"20/03/2020
21/04/2023
17/07/2023","4
4
4","Bon Vinho verde
Bien pour un Vinho verde
Avec Cécile pour l'apéro"
Casa Ferreirinha,2015,Douro,Callabriga,,Rouge,Vallée de Douro,"Touriga Franca, Touriga National, Tinta Roriz",,,5/5,"19,75",Epicerie,10/05/2019,0,0,10/05/2025,"3,5",Très correct. Apéro avec Cécile
Château La Bridane,2022,Saint Julien,,,Rouge,Bordeaux,"Cabernet Sauvignon, Cabernet France, Merlot",2026,2047,5/5,26,Salon,23/03/2025,2,52,,,
Château Haut-Tellas,,Bordeaux,Rosé Pirate,,Rosé,Bordeaux,"Merlot, Cabernet Sauvignon",,,,12,Marché,22/09/2024,0,0,28/06/2025,"2,5",Trop sec et pas assez fruité/sucré pour moi.
Damoiselles Fricot,,Champagne,,,Blanc effervescent,Champagne,,,,,,Marché,16/11/2019,0,,"18/08/2019
14/06/2021
31/12/2021","5
5
4","Toujours aussi bon. Pour fêter ma demande en marriage faite le 16/08/2019
Pour fêter la signature de l'appartement pour que je récupère les 30%
Nouvel an avec Chouch Mag Nico et Cécile. J'ai moins aimé que d'habitude. Je pense que ceux de Véro et Jay sont un cran au dessus"
Alexandre Sirech,2018,Saint Estèphe,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2022,2048,4/5,"19,9",Valap,19/05/2020,5,"99,5",16/11/2024,4,Tout seul pour goûter. A carafer avant. Bon mais assez puissant
El Enemigo,2016,Cabernet Franc,,,Rouge,"Mendoza, Argentine",Cabernet Franc,,,,,Cadeau Mika,19/12/2020,0,,23/07/2021,4,"Soirée Oenologie à Garches. Notre vin rouge préféré. Très épicé, Accroche légère mais reste bien en bouche."
Forget Chemin,,Champagne,Carte Blanche,,Blanc effervescent,Champagne,,,,,,Cadeau Marion,24/07/2022,0,,08/01/2023,"3,5",Pour l'anniversaire / galette chez Chouch
Château Saint Estèphe,2019,Saint Estèphe,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2023,2049,4/5,23,Salon,20/03/2022,2,46,,,
Fricot Marbella-Dubost,,Champagne,M de Marianne Blanc de Noirs,,Blanc effervescent,Champagne,,,,,,Marché,,0,,"08/09/2019
12/10/2019","3,5","Anniversaire Mel. J'ai été déçu car je ne le trouvais pas assez fruité. Il reste bon, mais je préfère grandement le damoiselle fricot
Crémaillère Manu"
Fricot Marbella-Dubost,,Champagne,Blanc de Blanc,,Blanc effervescent,Champagne,,,,,,Marché,,0,,30/06/2021,"3,5",Anniversaire de Cécile. Bon champagne mais je préfère les demoiselles de Fricot
Il Colle,,Prosecco,Treviso Brut,,Blanc effervescent,Prosecco,,,,,,Nysa,30/06/2021,0,,02/04/2022,"3,5","Anniversaire de Claire D. Correct, mais je m'attendais à mieux d'un caviste"
Klein Constantia,2021,Sauvignon,,,Blanc,"Constantia, Afrique du Sud",Sauvignon Blanc,,,4/5,"14,3",Vinatis,29/12/2023,0,0,"27/01/2024
30/08/2024","2,5
2,5","Au ski avec les mecs. Pas mauvais dans l'absolu, mais un peu sucré donc pas à notre goût. Personne n'a aimé.
Avec les parents de Cécile. Michel n'a pas aimé, et moi pas trop non plus"
Château Grand Beausejour,2019,Pomerol,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Petit Verdot",2024,2049,4/5,48,Salon,20/03/2022,2,96,,,Plus une offerte pour l'anniversaire de Claire
Pascal Fricot,,Champagne,Damoiselles,,Blanc effervescent,Champagne,"Chardonnay, Pinot Noir",,,,21,Marché,22/09/2024,0,0,"23/11/2024
29/12/2024
26/04/2025","4
4
4","Amenée chez Véro & Jay
Chez Math & Jess
Chez Math & Jess pour les 40 ans de Math"
Château Le Boscq,2020,Saint Estèphe,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2024,2050,5/5,"22,44",Valap,13/02/2023,6,"134,64",,,
Pierre Trichet,,Champagne,L'authentique,Premier cru,Blanc effervescent,Champagne,,,,,,Producteur,23/02/2019,0,,15/04/2022,,Apporté chez Math et Jess. On ne l'a pas bu
Pierre Trichet,,Champagne,L'Héritage Blanc de Blanc,Premier cru,Blanc effervescent,Champagne,,,,,,Producteur,17/07/2022,0,,"23/04/2022
30/06/2022","4
4,5","Avec Cécile en weekend honfleur amoureux. Fin et aérien. Vraiment pas mal mais peut être un peu trop sucré
Bu un héritage avec Math et Jess pour anniv Cécile. Très bon"
Pierre Trichet,,Champagne,Secret d'Or,,Blanc effervescent,Champagne,,,,,,Producteur,"23/02/2019
17/07/2022",0,,"05/10/2019
24/12/2022
23/12/2023","4
4,5
4","Avec Mika et Cécile pour annoncer notre mariage. Très bon champagne.
A noël avec mes parents qui l'ont bien aimé alors qu'ils n'aiment pas le blanc de blanc en principe
Offert à Noël aux parents de Cécile. On l'a tous bu ensemble. J'ai bien aimé mais un peu moins que la fois précédente, et les parents l'ont trouvé trop puissant"
Château Grand Beausejour,2021,Pomerol,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Petit Verdot",2026,2051,3/5,49,Salon,29/11/2023,2,98,,,
Daniel Mouty,2022,Pomerol,Clos Saint-André,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Petit Verdot",2027,2052,5/5,37,Salon,27/11/2024,2,74,,,
Barão de Vilar,2021,Douro,Vilarissa Valley,,Rouge,Vallée de Douro,"Touriga Franca, Touriga National, Tinta Roriz",,,4/5,,Cadeau Paolo,25/12/2023,2,0,,,
Casa Ferreirinha,2016,Douro,Vinha Grande,,Rouge,Vallée de Douro,"Touriga Franca, Touriga National, Tinta Roriz",,,4/5,"10,95",Epicerie,10/05/2019,1,"10,95",,,
Domaine du Cardona,2017,Moretum,Vieilli en Fût,,Rouge,Languedoc Roussillon,,,,,"15,9",Mont Saint-Michel,20/04/2024,1,"15,9",,,
François Weck,,Crémant d'Alsace,Cuvée St Pantaléon,,Blanc effervescent,Alsace,"Pinot Blanc, Auxerrois, Pinot Gris",,,,"11,2",Marché,22/09/2024,1,"11,2",21/02/2025,"2,5","Avec les parents de Cécile. Pas terrible, trop brut, ne pas racheter"
l'Amiral,,Minervois,Trésor d'Etoiles Fuchsia,,Orange,Languedoc Roussillon,,,,,24,,"16/11/2019
24/05/2020",1,24,25/12/2019,"4,5",En famille à Renne. Ressemble à un vin cuit sucré (type porto). Parfait avec un foie gras.
Pascal Fricot,,Champagne,Damoiselles,,Blanc effervescent,Champagne,"Chardonnay, Pinot Noir",,,,"21,5",Marché,17/05/2025,4,86,02/08/2025,"4,5",Chez Ada et Stef
Pierre Trichet,,Champagne,La puissance Blanc de Noirs,Grand cru,Blanc effervescent,Champagne,,,,,,Producteur,23/02/2019,1,0,17/03/2024,"4,5",Avec mes parents pour l'annonce de bébé. Nous l'avons vraiment adoré
Pierre Trichet,,Champagne,Le caractère Blanc de Noirs,Premier cru,Blanc effervescent,Champagne,,,,,,Producteur,17/07/2022,1,0,,,